month_number,month_name,day_of_month,day_of_year,births
11,November,13,318,60
11,November,14,319,85
11,November,15,320,87
11,November,16,321,61
11,November,17,322,84
11,November,18,323,70
11,November,19,324,88
11,November,20,325,71
11,November,21,326,74
11,November,22,327,90
11,November,23,328,82
11,November,24,329,78
11,November,25,330,61
11,November,26,331,52
11,November,27,332,75
11,November,28,333,63
11,November,29,334,71
11,November,30,335,72
12,December,1,336,80
12,December,2,337,55
12,December,3,338,63
12,December,4,339,75
12,December,5,340,89
12,December,6,341,71
12,December,7,342,70
12,December,8,343,88
12,December,9,344,71
12,December,10,345,84
12,December,11,346,84
12,December,12,347,94
12,December,13,348,73
12,December,14,349,67
12,December,15,350,84
12,December,16,351,75
12,December,17,352,78
12,December,18,353,87
12,December,19,354,84
12,December,20,355,73
12,December,21,356,81
12,December,22,357,70
12,December,23,358,82
12,December,24,359,71
12,December,25,360,70
12,December,26,361,62
12,December,27,362,86
12,December,28,363,72
12,December,29,364,75
12,December,30,365,79
12,December,31,366,85
NA,NA,NA,367,39
